acl;2.3.2;https://download.savannah.gnu.org/releases/acl/acl-@.tar.xz;590765dee95907dbc3c856f7255bd669
attr;2.5.2;https://download.savannah.gnu.org/releases/attr/attr-@.tar.gz;227043ec2f6ca03c0948df5517f9c927
autoconf;2.72;https://ftp.gnu.org/gnu/autoconf/autoconf-@.tar.xz;1be79f7106ab6767f18391c5e22be701
automake;1.16.5;https://ftp.gnu.org/gnu/automake/automake-@.tar.xz;4017e96f89fca45ca946f1c5db6be714
bash;5.2.21;https://ftp.gnu.org/gnu/bash/bash-@.tar.gz;ad5b38410e3bf0e9bcc20e2765f5e3f9
bc;6.7.5;https://github.com/gavinhoward/bc/releases/download/@/bc-@.tar.xz;e249b1f86f886d6fb71c15f72b65dd3d
binutils;2.42;https://sourceware.org/pub/binutils/releases/binutils-@.tar.xz;a075178a9646551379bfb64040487715
bison;3.8.2;https://ftp.gnu.org/gnu/bison/bison-@.tar.xz;c28f119f405a2304ff0a7ccdcc629713
bzip2;1.0.8;https://www.sourceware.org/pub/bzip2/bzip2-@.tar.gz;67e051268d0c475ea773822f7500d0e5
check;0.15.2;https://github.com/libcheck/check/releases/download/@/check-@.tar.gz;50fcafcecde5a380415b12e9c574e0b2
coreutils;9.4;https://ftp.gnu.org/gnu/coreutils/coreutils-@.tar.xz;459e9546074db2834eefe5421f250025
dejagnu;1.6.3;https://ftp.gnu.org/gnu/dejagnu/dejagnu-@.tar.gz;68c5208c58236eba447d7d6d1326b821
diffutils;3.10;https://ftp.gnu.org/gnu/diffutils/diffutils-@.tar.xz;2745c50f6f4e395e7b7d52f902d075bf
e2fsprogs;1.47.0;https://downloads.sourceforge.net/project/e2fsprogs/e2fsprogs/v@/e2fsprogs-@.tar.gz;6b4f18a33873623041857b4963641ee9
elfutils;0.190;https://sourceware.org/ftp/elfutils/@/elfutils-@.tar.bz2;79ad698e61a052bea79e77df6a08bc4b
expat;2.6.2;https://prdownloads.sourceforge.net/expat/expat-@.tar.xz;bd169cb11f4b9bdfddadf9e88a5c4d4b
expect;5.45.4;https://prdownloads.sourceforge.net/expect/expect@.tar.gz;00fce8de158422f5ccd2666512329bd2
file;5.45;https://astron.com/pub/file/file-@.tar.gz;26b2a96d4e3a8938827a1e572afd527a
findutils;4.9.0;https://ftp.gnu.org/gnu/findutils/findutils-@.tar.xz;4a4a547e888a944b2f3af31d789a1137
flex;2.6.4;https://github.com/westes/flex/releases/download/v2.6.4/flex-@.tar.gz;2882e3179748cc9f9c23ec593d6adc8d
flit-core;3.9.0;https://pypi.org/packages/source/f/flit-core/flit_core-@.tar.gz;3bc52f1952b9a78361114147da63c35b
gawk;5.3.0;https://ftp.gnu.org/gnu/gawk/gawk-@.tar.xz;97c5a7d83f91a7e1b2035ebbe6ac7abd
gcc;13.2.0;https://ftp.gnu.org/gnu/gcc/gcc-@/gcc-@.tar.xz;e0e48554cc6e4f261d55ddee9ab69075
gdbm;1.23;https://ftp.gnu.org/gnu/gdbm/gdbm-@.tar.gz;8551961e36bf8c70b7500d255d3658ec
gettext;0.22.4;https://ftp.gnu.org/gnu/gettext/gettext-@.tar.xz;2d8507d003ef3ddd1c172707ffa97ed8
glibc;2.39;https://ftp.gnu.org/gnu/glibc/glibc-@.tar.xz;be81e87f72b5ea2c0ffe2bedfeb680c6
gmp;6.3.0;https://ftp.gnu.org/gnu/gmp/gmp-@.tar.xz;956dc04e864001a9c22429f761f2c283
gperf;3.1;https://ftp.gnu.org/gnu/gperf/gperf-@.tar.gz;9e251c0a618ad0824b51117d5d9db87e
grep;3.11;https://ftp.gnu.org/gnu/grep/grep-@.tar.xz;7c9bbd74492131245f7cdb291fa142c0
groff;1.23.0;https://ftp.gnu.org/gnu/groff/groff-@.tar.gz;5e4f40315a22bb8a158748e7d5094c7d
grub;2.12;https://ftp.gnu.org/gnu/grub/grub-@.tar.xz;60c564b1bdc39d8e43b3aab4bc0fb140
gzip;1.13;https://ftp.gnu.org/gnu/gzip/gzip-@.tar.xz;d5c9fc9441288817a4a0be2da0249e29
iana-etc;20240125;https://github.com/Mic92/iana-etc/releases/download/20240125/iana-etc-@.tar.gz;aed66d04de615d76c70890233081e584
inetutils;2.5;https://ftp.gnu.org/gnu/inetutils/inetutils-@.tar.xz;9e5a6dfd2d794dc056a770e8ad4a9263
intltool;0.51.0;https://launchpad.net/intltool/trunk/@/+download/intltool-@.tar.gz;12e517cac2b57a0121cda351570f1e63
iproute2;6.7.0;https://www.kernel.org/pub/linux/utils/net/iproute2/iproute2-@.tar.xz;35d8277d1469596b7edc07a51470a033
jinja2;3.1.3;https://pypi.org/packages/source/J/Jinja2/Jinja2-@.tar.gz;caf5418c851eac59e70a78d9730d4cea
kbd;2.6.4;https://www.kernel.org/pub/linux/utils/kbd/kbd-@.tar.xz;e2fd7adccf6b1e98eb1ae8d5a1ce5762
kmod;31;https://www.kernel.org/pub/linux/utils/kernel/kmod/kmod-@.tar.xz;6165867e1836d51795a11ea4762ff66a
less;643;https://www.greenwoodsoftware.com/less/less-@.tar.gz;cf05e2546a3729492b944b4874dd43dd
lfs-bootscripts;20230728;https://www.linuxfromscratch.org/lfs/downloads/12.1/lfs-bootscripts-@.tar.xz;a236eaa9a1f699bc3fb6ab2acd7e7b6c
libcap;2.69;https://www.kernel.org/pub/linux/libs/security/linux-privs/libcap2/libcap-@.tar.xz;4667bacb837f9ac4adb4a1a0266f4b65
libffi;3.4.4;https://github.com/libffi/libffi/releases/download/v@/libffi-@.tar.gz;0da1a5ed7786ac12dcbaf0d499d8a049
libpipeline;1.5.7;https://download.savannah.gnu.org/releases/libpipeline/libpipeline-@.tar.gz;1a48b5771b9f6c790fb4efdb1ac71342
libtool;2.4.7;https://ftp.gnu.org/gnu/libtool/libtool-@.tar.xz;2fc0b6ddcd66a89ed6e45db28fa44232
libxcrypt;4.4.36;https://github.com/besser82/libxcrypt/releases/download/v@/libxcrypt-@.tar.xz;b84cd4104e08c975063ec6c4d0372446
linux;6.7.4;https://www.kernel.org/pub/linux/kernel/v6.x/linux-@.tar.xz;370e1b6155ae63133380e421146619e0
m4;1.4.19;https://ftp.gnu.org/gnu/m4/m4-@.tar.xz;0d90823e1426f1da2fd872df0311298d
make;4.4.1;https://ftp.gnu.org/gnu/make/make-@.tar.gz;c8469a3713cbbe04d955d4ae4be23eeb
man-db;2.12.0;https://download.savannah.gnu.org/releases/man-db/man-db-@.tar.xz;67e0052fa200901b314fad7b68c9db27
man-pages;6.06;https://www.kernel.org/pub/linux/docs/man-pages/man-pages-@.tar.xz;26b39e38248144156d437e1e10cb20bf
markupsafe;2.1.5;https://pypi.org/packages/source/M/MarkupSafe/MarkupSafe-@.tar.gz;8fe7227653f2fb9b1ffe7f9f2058998a
meson;1.3.2;https://github.com/mesonbuild/meson/releases/download/@/meson-@.tar.gz;2d0ebd3a24249617b1c4d30026380cf8
mpc;1.3.1;https://ftp.gnu.org/gnu/mpc/mpc-@.tar.gz;5c9bc658c9fd0f940e8e3e0f09530c62
mpfr;4.2.1;https://ftp.gnu.org/gnu/mpfr/mpfr-@.tar.xz;523c50c6318dde6f9dc523bc0244690a
ncurses;6.4-20230520;https://anduin.linuxfromscratch.org/LFS/ncurses-@.tar.xz;c5367e829b6d9f3f97b280bb3e6bfbc3
ninja;1.11.1;https://github.com/ninja-build/ninja/archive/v@/ninja-@.tar.gz;32151c08211d7ca3c1d832064f6939b0
openssl;3.2.1;https://www.openssl.org/source/openssl-@.tar.gz;c239213887804ba00654884918b37441
patch;2.7.6;https://ftp.gnu.org/gnu/patch/patch-@.tar.xz;78ad9937e4caadcba1526ef1853730d5
perl;5.38.2;https://www.cpan.org/src/5.0/perl-@.tar.xz;d3957d75042918a23ec0abac4a2b7e0a
